ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.76,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDu_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.07,,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWm_05_a,0.35,,,,,,,district heating,DIH_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWm_01_a,,,,,,,,pellets central heating,PEL_01_r,0.03,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAm_03_a,0.188679245,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_01_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-21,AT,Residential,Single-family house (SFH),2010,2022,Standard,Concrete,191.8,153.4,8.597640118,632.9,2,1,3,6567,0,0,0,0,0.829187396,0.165837479,0.004975124,92,0,0,0,27.6,19,123,0,0,0,4.69,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,0.384615385,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.76,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDu_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.07,,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWm_01_a,0.35,,,,,,,district heating,DIH_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWm_01_a,,,,,,,,pellets central heating,PEL_01_r,0.03,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAm_03_a,0.188679245,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_01_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-31,AT,Residential,Single-family house (SFH),2010,2022,Standard,Wood frame,191.8,153.4,8.597640118,632.9,2,1,3,30828,0,0,0,0,0.829187396,0.165837479,0.004975124,92,0,0,0,27.6,19,123,0,0,0,4.69,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,0.384615385,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.76,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDo_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.07,,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWI_02_a,0.35,,,,,,,district heating,DIH_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWI_05_a,,,,,,,,pellets central heating,PEL_01_r,0.03,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAI_07_a,0.188679245,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_01_w,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-12,AT,Residential,Single-family house (SFH),2010,2022,Advanced,Masonry,191.8,153.4,8.597640118,632.9,2,1,3,89277,0,0,0,0,0.829187396,0.165837479,0.004975124,43,0,0,0,27.6,19,58,0,0,0,6.55,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,0.21,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,0.21,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.76,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDu_01_a,0.21,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.07,,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWm_05_a,0.16,,,,,,,district heating,DIH_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWm_01_a,,,,,,,,pellets central heating,PEL_01_r,0.03,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAm_03_a,0.16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_02_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-22,AT,Residential,Single-family house (SFH),2010,2022,Advanced,Concrete,191.8,153.4,8.597640118,632.9,2,1,3,4776,0,0,0,0,0.829187396,0.165837479,0.004975124,43,0,0,0,27.6,19,58,0,0,0,6.55,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,0.21,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,0.21,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.76,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDu_01_a,0.21,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.07,,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWm_01_a,0.16,,,,,,,district heating,DIH_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWm_01_a,,,,,,,,pellets central heating,PEL_01_r,0.03,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAm_03_a,0.16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_02_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-32,AT,Residential,Single-family house (SFH),2010,2022,Advanced,Wood frame,191.8,153.4,8.597640118,632.9,2,1,3,22420,0,0,0,0,0.829187396,0.165837479,0.004975124,43,0,0,0,27.6,19,58,0,0,0,6.55,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,0.21,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,0.21,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.76,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDo_01_a,0.21,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.07,,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWI_02_a,0.16,,,,,,,district heating,DIH_01_r,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWI_05_a,,,,,,,,pellets central heating,PEL_01_r,0.03,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAI_07_a,0.16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_01_w,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-13,AT,Residential,Single-family house (SFH),2010,2022,Passive,Masonry,191.8,153.4,8.597640118,632.9,2,1,3,11160,0,0,0,0,0.829187396,0.165837479,0.004975124,15,0,0,0,15,19,21,0,0,0,2.548913043,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,,,,,,,,district heating,DIH_01_r,0.02,,district heating,DIH_01_r,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.03,,"pellets central heating, with solar thermal",PEL_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDu_01_a,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWm_05_a,,,,,,,,heat pump,HEP_01_r,0.92,,heat pump,HEP_01_r,0.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWm_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAm_03_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_02_p,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-23,AT,Residential,Single-family house (SFH),2010,2022,Passive,Concrete,191.8,153.4,8.597640118,632.9,2,1,3,597,0,0,0,0,0.829187396,0.165837479,0.004975124,15,0,0,0,15,19,21,0,0,0,2.548913043,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,,,,,,,,district heating,DIH_01_r,0.02,,district heating,DIH_01_r,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.03,,"pellets central heating, with solar thermal",PEL_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDu_01_a,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWm_01_a,,,,,,,,heat pump,HEP_01_r,0.92,,heat pump,HEP_01_r,0.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWm_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAm_03_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_02_p,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-33,AT,Residential,Single-family house (SFH),2010,2022,Passive,Wood frame,191.8,153.4,8.597640118,632.9,2,1,3,2803,0,0,0,0,0.829187396,0.165837479,0.004975124,15,0,0,0,15,19,21,0,0,0,2.548913043,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,,,,,,,,district heating,DIH_01_r,0.02,,district heating,DIH_01_r,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.03,,"pellets central heating, with solar thermal",PEL_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDo_01_a,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWI_02_a,,,,,,,,heat pump,HEP_01_r,0.92,,heat pump,HEP_01_r,0.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWI_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_02_w,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-TEH-1850-1918-11,AT,Residential,Terraced house (TEH),1850,1918,Standard,Masonry,585.7,468.6,10.34763407,1967.2,2,13,1,5270,664,369,63,128,0.874831763,0.121130552,0.004037685,173,164.35,85.9,64.9,27.18,19,231,220,115,87,4.62,28,3.4,30.6,46650.94628,551.2,Foundation,292.85,Efo_18_a,1.4,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.1,Adapted to fit NEA,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,153.3312315,EAm_19_a,1.18,,,,,,,wood central heating,PEL_01_r,0.65,Adapted to fit NEA,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,292.85,KDo_18_a,0.99,,,REN_02_a,0.23,REN_02_a,0.16,"oil central heating, standard boiler",OIL_01_r,0.15,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,329.7,AWm_20_a,1.1,,,REN_01_a,0.23,REN_01_a,0.11,heat pump,HEP_01_r,0.1,Adapted to fit NEA,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,329.7,AWm_21_a,1.54,,,REN_01_a,0.23,REN_01_a,0.11,,,,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",177.7025876,IWm_22_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",296.7144124,IWm_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,292.85,GDm_18_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,292.85,GDm_20_a,0.59,REN_03_a,0.21,REN_03_a,0.21,REN_03_a,0.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,414.1524417,DAI_18_a,0.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,69.2,Win_18_k,2.2,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_02_r,,,,Doo_02_r,1-0,Doo_02_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,13-26-13-0-13-24-34-31-147-116-147-116,SAN_02_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,595-9888-3054-232,ELI_01_r,,,,,,,,,,,,,,
AT-TEH-1919-1944-11,AT,Residential,Terraced house (TEH),1919,1944,Standard,Masonry,311.3,249,5.498422713,933.9,2,2,2,4578,577,320,55,111,0.874831763,0.121130552,0.004037685,173,164.35,77.1,56.7,27.18,19,231,220,103,76,4.62,28,3.4,30.6,14354.13732,169.6,Foundation,155.65,Efo_50_a,2.44,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.25,Adapted to fit NEA,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,111.7847532,EAm_52_a,1.2,,,,,,,wood central heating,PEL_01_r,0.24,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,155.65,KDo_51_a,1.73,,,REN_02_a,0.26,REN_02_a,0.23,"oil central heating, standard boiler",OIL_01_r,0.36,,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,325.1,AWm_52_a,1.9,,,REN_01_a,0.25,REN_01_a,0.11,heat pump,HEP_01_r,0.15,Adapted to fit NEA,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",94.44906186,IWm_50_a,,,,,,,,,,,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",157.7039381,IWm_52_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,155.65,GDm_50_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,155.65,GDm_51_a,1.02,REN_03_a,0.26,REN_03_a,0.26,REN_03_a,0.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,220.122341,DAI_50_a,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,28.5,Win_50_k,2.2,,,Win_01_p,0.7,Win_02_p,0.67,,,,,,,
